seqnames,start,end,ID,Name,Description
Lcu.1GRN.Chr1,351002384,351002935,Lcu.1GRN.1g033400,Lcu.1GRN.1g033400,agamous-like MADS-box protein AGL62
Lcu.1GRN.Chr1,351127056,351127607,Lcu.1GRN.1g033420,Lcu.1GRN.1g033420,agamous-like MADS-box protein AGL62
Lcu.1GRN.Chr1,351669965,351670492,Lcu.1GRN.1g033460,Lcu.1GRN.1g033460,Agamous-like mads-box protein agl62-like
Lcu.1GRN.Chr7,245629702,245633644,Lcu.1GRN.7g031840,Lcu.1GRN.7g031840,Aldehyde dehydrogenase family 2 member mitochondrial-like
Lcu.1GRN.Chr7,246355847,246358863,Lcu.1GRN.7g031910,Lcu.1GRN.7g031910,Aldehyde dehydrogenase;  mitochondrial
Lcu.1GRN.Chr1,359020608,359023140,Lcu.1GRN.1g034480,Lcu.1GRN.1g034480,Alpha-1; 3/1; 6-mannosyltransferase ALG2
Lcu.1GRN.Chr6,295705214,295705675,Lcu.1GRN.6g034630,Lcu.1GRN.6g034630,Anaphase-promoting complex subunit 11 RING-H2 finger protein
Lcu.1GRN.Chr1,372013225,372013898,Lcu.1GRN.1g036240,Lcu.1GRN.1g036240,Animal RPA1 domain protein
Lcu.1GRN.Chr6,300647891,300651066,Lcu.1GRN.6g035660,Lcu.1GRN.6g035660,AP2-like ethylene-responsive transcription factor
Lcu.1GRN.Chr7,228854798,228856468,Lcu.1GRN.7g030200,Lcu.1GRN.7g030200,APC1_C domain-containing protein
Lcu.1GRN.Chr1,351658285,351659814,Lcu.1GRN.1g033450,Lcu.1GRN.1g033450,Argonaute protein
Lcu.1GRN.Chr7,235219027,235220911,Lcu.1GRN.7g030890,Lcu.1GRN.7g030890,Argonaute protein
Lcu.1GRN.Chr1,359121300,359132083,Lcu.1GRN.1g034500,Lcu.1GRN.1g034500,ARM REPEAT PROTEIN INTERACTING WITH ABF2
Lcu.1GRN.Chr7,240606977,240607438,Lcu.1GRN.7g031130,Lcu.1GRN.7g031130,ascorbate transporter;  chloroplastic-like
Lcu.1GRN.Chr1,363986311,363997207,Lcu.1GRN.1g035200,Lcu.1GRN.1g035200,asparagine synthetase domain-containing protein 1
Lcu.1GRN.Chr3,117720728,117722709,Lcu.1GRN.3g015300,Lcu.1GRN.3g015300,AT-hook motif nuclear-localized protein
Lcu.1GRN.Chr7,72329086,72331429,Lcu.1GRN.7g014530,Lcu.1GRN.7g014530,AT-hook motif nuclear-localized protein
Lcu.1GRN.Chr7,83525436,83527921,Lcu.1GRN.7g015540,Lcu.1GRN.7g015540,ATP synthase subunit a
Lcu.1GRN.Chr7,68230686,68231015,Lcu.1GRN.7g014040,Lcu.1GRN.7g014040,ATP-dependent Clp protease proteolytic subunit
Lcu.1GRN.Chr7,68240565,68240894,Lcu.1GRN.7g014050,Lcu.1GRN.7g014050,ATP-dependent Clp protease proteolytic subunit
Lcu.1GRN.Chr1,372014570,372015281,Lcu.1GRN.1g036250,Lcu.1GRN.1g036250,ATP-dependent DNA helicase
Lcu.1GRN.Chr1,372535048,372535910,Lcu.1GRN.1g036290,Lcu.1GRN.1g036290,ATP-dependent DNA helicase
Lcu.1GRN.Chr7,73616591,73617237,Lcu.1GRN.7g014730,Lcu.1GRN.7g014730,ATP-dependent DNA helicase
Lcu.1GRN.Chr7,240608236,240608701,Lcu.1GRN.7g031140,Lcu.1GRN.7g031140,Auxin response factor
Lcu.1GRN.Chr4,480393976,480395539,Lcu.1GRN.4g069420,Lcu.1GRN.4g069420,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480559612,480560019,Lcu.1GRN.4g069440,Lcu.1GRN.4g069440,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480643694,480644312,Lcu.1GRN.4g069460,Lcu.1GRN.4g069460,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480804625,480805059,Lcu.1GRN.4g069470,Lcu.1GRN.4g069470,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480822934,480823251,Lcu.1GRN.4g069480,Lcu.1GRN.4g069480,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480834911,480835360,Lcu.1GRN.4g069490,Lcu.1GRN.4g069490,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr4,480879893,480880360,Lcu.1GRN.4g069500,Lcu.1GRN.4g069500,auxin-responsive protein SAUR32-like
Lcu.1GRN.Chr6,304611501,304612319,Lcu.1GRN.6g036630,Lcu.1GRN.6g036630,B3 domain-containing protein
Lcu.1GRN.Chr6,304655014,304655881,Lcu.1GRN.6g036680,Lcu.1GRN.6g036680,B3 domain-containing protein
Lcu.1GRN.Chr7,235208481,235209413,Lcu.1GRN.7g030880,Lcu.1GRN.7g030880,B3 domain-containing protein
Lcu.1GRN.Chr7,478533926,478534363,Lcu.1GRN.7g049280,Lcu.1GRN.7g049280,Basic leucine zipper 23-like
Lcu.1GRN.Chr1,369825315,369827276,Lcu.1GRN.1g036010,Lcu.1GRN.1g036010,BED-type domain-containing protein
Lcu.1GRN.Chr3,117047065,117048762,Lcu.1GRN.3g015190,Lcu.1GRN.3g015190,Beta_elim_lyase domain-containing protein
Lcu.1GRN.Chr6,295552151,295553361,Lcu.1GRN.6g034570,Lcu.1GRN.6g034570,Beta-amylase
Lcu.1GRN.Chr6,301215663,301216112,Lcu.1GRN.6g035800,Lcu.1GRN.6g035800,beta-catenin-like protein 1
Lcu.1GRN.Chr6,301225501,301225950,Lcu.1GRN.6g035810,Lcu.1GRN.6g035810,beta-catenin-like protein 1
Lcu.1GRN.Chr2,499128216,499130529,Lcu.1GRN.2g067140,Lcu.1GRN.2g067140,Beta-galactosidase
Lcu.1GRN.Chr6,295553537,295553755,Lcu.1GRN.6g034580,Lcu.1GRN.6g034580,Beta-glucosidase 11-like
Lcu.1GRN.Chr7,241048663,241051141,Lcu.1GRN.7g031170,Lcu.1GRN.7g031170,BHLH transcription factor
Lcu.1GRN.Chr4,479691640,479693305,Lcu.1GRN.4g069380,Lcu.1GRN.4g069380,Bidirectional sugar transporter SWEET
Lcu.1GRN.Chr1,370813678,370816806,Lcu.1GRN.1g036100,Lcu.1GRN.1g036100,Boron transporter 4-like
Lcu.1GRN.Chr6,305491661,305492065,Lcu.1GRN.6g036790,Lcu.1GRN.6g036790,BP28CT domain-containing protein
Lcu.1GRN.Chr7,233539742,233540463,Lcu.1GRN.7g030670,Lcu.1GRN.7g030670,BZIP family transcription factor
Lcu.1GRN.Chr6,292721146,292727771,Lcu.1GRN.6g034160,Lcu.1GRN.6g034160,CAAX prenyl protease
Lcu.1GRN.Chr3,117718926,117720068,Lcu.1GRN.3g015290,Lcu.1GRN.3g015290,Calcium-dependent protein kinase
Lcu.1GRN.Chr7,244870869,244873734,Lcu.1GRN.7g031790,Lcu.1GRN.7g031790,Calcium-dependent protein kinase
Lcu.1GRN.Chr7,471734665,471734988,Lcu.1GRN.7g048730,Lcu.1GRN.7g048730,Calcium-dependent protein kinase 33
Lcu.1GRN.Chr1,369819700,369820889,Lcu.1GRN.1g035990,Lcu.1GRN.1g035990,Calcium-transporting ATPase
Lcu.1GRN.Chr7,243773452,243775111,Lcu.1GRN.7g031650,Lcu.1GRN.7g031650,Carbonic anhydrase
Lcu.1GRN.Chr7,243803704,243807052,Lcu.1GRN.7g031690,Lcu.1GRN.7g031690,Carbonic anhydrase
Lcu.1GRN.Chr2,538701681,538703441,Lcu.1GRN.2g070980,Lcu.1GRN.2g070980,carboxyl-terminal-processing peptidase 1;  chloroplastic
Lcu.1GRN.Chr7,83761325,83788788,Lcu.1GRN.7g015650,Lcu.1GRN.7g015650,Carotenoid 9; 10(9'; 10')-cleavage dioxygenase 1
Lcu.1GRN.Chr1,413005139,413006140,Lcu.1GRN.1g042010,Lcu.1GRN.1g042010,Cation H(+) antiporter 15-like protein
Lcu.1GRN.Chr2,590774030,590774398,Lcu.1GRN.2g077850,Lcu.1GRN.2g077850,Cationic amino acid transporter 1-like protein
Lcu.1GRN.Chr1,352119486,352120424,Lcu.1GRN.1g033540,Lcu.1GRN.1g033540,CCHC-type domain-containing protein
Lcu.1GRN.Chr3,117123162,117123657,Lcu.1GRN.3g015210,Lcu.1GRN.3g015210,CCHC-type domain-containing protein
Lcu.1GRN.Chr3,345165428,345168445,Lcu.1GRN.3g047420,Lcu.1GRN.3g047420,CCT motif protein
Lcu.1GRN.Chr7,109153110,109155478,Lcu.1GRN.7g017870,Lcu.1GRN.7g017870,Choline/ethanolamine kinase
Lcu.1GRN.Chr6,301023522,301029067,Lcu.1GRN.6g035720,Lcu.1GRN.6g035720,chromatin assembly factor 1 subunit FAS1
Lcu.1GRN.Chr7,68824925,68825125,Lcu.1GRN.7g014100,Lcu.1GRN.7g014100,Chromodomain-helicase-DNA-binding protein
Lcu.1GRN.Chr1,370907278,370910168,Lcu.1GRN.1g036130,Lcu.1GRN.1g036130,CIA30 domain-containing protein
Lcu.1GRN.Chr1,363337465,363339040,Lcu.1GRN.1g035110,Lcu.1GRN.1g035110,Clustered mitochondria protein homolog
Lcu.1GRN.Chr1,363339482,363341275,Lcu.1GRN.1g035120,Lcu.1GRN.1g035120,Clustered mitochondria protein homolog
Lcu.1GRN.Chr7,240604068,240605493,Lcu.1GRN.7g031110,Lcu.1GRN.7g031110,CN hydrolase domain-containing protein
Lcu.1GRN.Chr7,471048255,471049498,Lcu.1GRN.7g048610,Lcu.1GRN.7g048610,cold-regulated 413 plasma membrane protein 2
Lcu.1GRN.Chr6,301338889,301340238,Lcu.1GRN.6g035860,Lcu.1GRN.6g035860,Copine domain-containing protein
Lcu.1GRN.Chr6,293179911,293185498,Lcu.1GRN.6g034290,Lcu.1GRN.6g034290,C-terminal binding protein AN
Lcu.1GRN.Chr3,344269533,344271644,Lcu.1GRN.3g047210,Lcu.1GRN.3g047210,Curved DNA-binding protein
Lcu.1GRN.Chr1,352697421,352700528,Lcu.1GRN.1g033620,Lcu.1GRN.1g033620,Cyclic nucleotide-binding domain-containing protein
Lcu.1GRN.Chr3,344349405,344361844,Lcu.1GRN.3g047250,Lcu.1GRN.3g047250,Cyclic nucleotide-gated ion channel-like protein
Lcu.1GRN.Chr1,359579031,359584544,Lcu.1GRN.1g034600,Lcu.1GRN.1g034600,Cyclin T1
Lcu.1GRN.Chr2,506136346,506144623,Lcu.1GRN.2g067500,Lcu.1GRN.2g067500,Cyclin T1
Lcu.1GRN.Chr6,304295787,304297140,Lcu.1GRN.6g036590,Lcu.1GRN.6g036590,Cysteine synthase 1
Lcu.1GRN.Chr1,358493703,358496060,Lcu.1GRN.1g034430,Lcu.1GRN.1g034430,Cysteine-rich PDZ-binding protein
Lcu.1GRN.Chr1,352133663,352142451,Lcu.1GRN.1g033560,Lcu.1GRN.1g033560,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352152449,352155268,Lcu.1GRN.1g033570,Lcu.1GRN.1g033570,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352543001,352545527,Lcu.1GRN.1g033590,Lcu.1GRN.1g033590,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352693127,352695690,Lcu.1GRN.1g033610,Lcu.1GRN.1g033610,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352802092,352814110,Lcu.1GRN.1g033630,Lcu.1GRN.1g033630,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352938459,352942591,Lcu.1GRN.1g033640,Lcu.1GRN.1g033640,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,359024090,359026982,Lcu.1GRN.1g034490,Lcu.1GRN.1g034490,Cysteine-rich receptor-kinase-like protein
Lcu.1GRN.Chr1,352061219,352062028,Lcu.1GRN.1g033510,Lcu.1GRN.1g033510,Cysteine-rich receptor-like protein kinase
Lcu.1GRN.Chr1,352081321,352082130,Lcu.1GRN.1g033520,Lcu.1GRN.1g033520,Cysteine-rich receptor-like protein kinase
Lcu.1GRN.Chr6,301108162,301108860,Lcu.1GRN.6g035760,Lcu.1GRN.6g035760,Cytochrome b561 domain-containing protein
Lcu.1GRN.Chr7,83719686,83720135,Lcu.1GRN.7g015630,Lcu.1GRN.7g015630,Cytochrome c biogenesis FN
Lcu.1GRN.Chr7,83720560,83748001,Lcu.1GRN.7g015640,Lcu.1GRN.7g015640,Cytochrome c biogenesis FN
Lcu.1GRN.Chr3,117267981,117272836,Lcu.1GRN.3g015230,Lcu.1GRN.3g015230,DEAD-box ATP-dependent RNA helicase-like protein
Lcu.1GRN.Chr3,344316859,344320302,Lcu.1GRN.3g047230,Lcu.1GRN.3g047230,Dehydrogenase/reductase SDR family member on chromosome X
Lcu.1GRN.Chr1,479371314,479374782,Lcu.1GRN.1g051280,Lcu.1GRN.1g051280,DEK_C domain-containing protein
Lcu.1GRN.Chr1,352049179,352050762,Lcu.1GRN.1g033500,Lcu.1GRN.1g033500,Dentin sialophosphoprotein-like
Lcu.1GRN.Chr7,72456607,72459276,Lcu.1GRN.7g014570,Lcu.1GRN.7g014570,DIOX_N domain-containing protein
Lcu.1GRN.Chr4,480423800,480427700,Lcu.1GRN.4g069430,Lcu.1GRN.4g069430,DNA replication licensing factor MCM2
Lcu.1GRN.Chr7,229486030,229488133,Lcu.1GRN.7g030230,Lcu.1GRN.7g030230,DNA-3-methyladenine glycosylase
Lcu.1GRN.Chr7,88567986,88575881,Lcu.1GRN.7g015970,Lcu.1GRN.7g015970,DNA-directed RNA polymerase subunit
Lcu.1GRN.Chr1,358067273,358068307,Lcu.1GRN.1g034340,Lcu.1GRN.1g034340,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 3B
Lcu.1GRN.Chr7,244523281,244533382,Lcu.1GRN.7g031750,Lcu.1GRN.7g031750,Dual-specificity RNA methyltransferase RlmN
Lcu.1GRN.Chr1,359328009,359329070,Lcu.1GRN.1g034520,Lcu.1GRN.1g034520,DUF2076 domain-containing protein
Lcu.1GRN.Chr7,235787694,235789706,Lcu.1GRN.7g030960,Lcu.1GRN.7g030960,DUF220 domain-containing protein
Lcu.1GRN.Chr6,301430954,301433184,Lcu.1GRN.6g035880,Lcu.1GRN.6g035880,DUF223 domain protein
Lcu.1GRN.Chr2,499003217,499005452,Lcu.1GRN.2g067130,Lcu.1GRN.2g067130,DUF223 domain protein
Lcu.1GRN.Chr4,480885413,480887856,Lcu.1GRN.4g069510,Lcu.1GRN.4g069510,DUF223 domain-containing protein
Lcu.1GRN.Chr6,300742702,300743103,Lcu.1GRN.6g035670,Lcu.1GRN.6g035670,DUF4057 domain-containing protein
Lcu.1GRN.Chr6,300752513,300752914,Lcu.1GRN.6g035680,Lcu.1GRN.6g035680,DUF4057 domain-containing protein
Lcu.1GRN.Chr7,234910496,234911533,Lcu.1GRN.7g030830,Lcu.1GRN.7g030830,DUF4216 domain-containing protein
Lcu.1GRN.Chr7,235963034,235963640,Lcu.1GRN.7g030970,Lcu.1GRN.7g030970,DUF4218 domain-containing protein
Lcu.1GRN.Chr7,234911695,234912858,Lcu.1GRN.7g030840,Lcu.1GRN.7g030840,DUF4218 domain-containing protein
Lcu.1GRN.Chr6,291584519,291586457,Lcu.1GRN.6g034070,Lcu.1GRN.6g034070,DUF4218 domain-containing protein
Lcu.1GRN.Chr6,304712783,304713648,Lcu.1GRN.6g036720,Lcu.1GRN.6g036720,DUF4238 domain-containing protein
Lcu.1GRN.Chr7,83562872,83563177,Lcu.1GRN.7g015560,Lcu.1GRN.7g015560,DUF4283 domain-containing protein
Lcu.1GRN.Chr1,59081501,59083097,Lcu.1GRN.1g008980,Lcu.1GRN.1g008980,DUF4283 domain-containing protein
Lcu.1GRN.Chr2,506131228,506132050,Lcu.1GRN.2g067490,Lcu.1GRN.2g067490,DUF659 domain-containing protein
Lcu.1GRN.Chr6,295790954,295791799,Lcu.1GRN.6g034650,Lcu.1GRN.6g034650,Dynamin 3A-like protein
Lcu.1GRN.Chr1,372677127,372677932,Lcu.1GRN.1g036340,Lcu.1GRN.1g036340,Early light-induced protein;  chloroplastic
Lcu.1GRN.Chr1,372852333,372853172,Lcu.1GRN.1g036370,Lcu.1GRN.1g036370,Early light-induced protein;  chloroplastic
Lcu.1GRN.Chr1,372872548,372873386,Lcu.1GRN.1g036390,Lcu.1GRN.1g036390,Early light-induced protein;  chloroplastic
Lcu.1GRN.Chr7,68694718,68697463,Lcu.1GRN.7g014080,Lcu.1GRN.7g014080,Embryonic abundant protein VF30.1
Lcu.1GRN.Chr6,295549970,295551568,Lcu.1GRN.6g034560,Lcu.1GRN.6g034560,ENT domain-containing protein
Lcu.1GRN.Chr1,358199713,358200006,Lcu.1GRN.1g034370,Lcu.1GRN.1g034370,ENT domain-containing protein
Lcu.1GRN.Chr1,370177973,370178418,Lcu.1GRN.1g036020,Lcu.1GRN.1g036020,Epidermal patterning factor-like protein
Lcu.1GRN.Chr2,498599753,498600382,Lcu.1GRN.2g067070,Lcu.1GRN.2g067070,Epidermal patterning factor-like protein
Lcu.1GRN.Chr1,364498171,364499782,Lcu.1GRN.1g035280,Lcu.1GRN.1g035280,ERG2/sigma1 receptor-like protein
Lcu.1GRN.Chr6,301202937,301203932,Lcu.1GRN.6g035790,Lcu.1GRN.6g035790,Exonuclease domain-containing protein
Lcu.1GRN.Chr7,471981533,471987080,Lcu.1GRN.7g048750,Lcu.1GRN.7g048750,Extra-large guanine nucleotide-binding protein 1-like
Lcu.1GRN.Chr4,480596436,480597016,Lcu.1GRN.4g069450,Lcu.1GRN.4g069450,F-box domain-containing protein
Lcu.1GRN.Chr6,293173924,293175291,Lcu.1GRN.6g034280,Lcu.1GRN.6g034280,F-box only protein 8
Lcu.1GRN.Chr6,293006173,293007465,Lcu.1GRN.6g034250,Lcu.1GRN.6g034250,F-box protein At2g16450
Lcu.1GRN.Chr6,293314102,293316511,Lcu.1GRN.6g034310,Lcu.1GRN.6g034310,F-box protein At2g16450
Lcu.1GRN.Chr6,293167498,293168763,Lcu.1GRN.6g034270,Lcu.1GRN.6g034270,F-box protein At5g07610
Lcu.1GRN.Chr6,293060889,293062133,Lcu.1GRN.6g034260,Lcu.1GRN.6g034260,F-box protein interaction domain protein
Lcu.1GRN.Chr1,358249624,358250005,Lcu.1GRN.1g034390,Lcu.1GRN.1g034390,Ferrochelatase
Lcu.1GRN.Chr1,412550364,412553122,Lcu.1GRN.1g041920,Lcu.1GRN.1g041920,Fucosyltransferase
Lcu.1GRN.Chr6,295571481,295571789,Lcu.1GRN.6g034590,Lcu.1GRN.6g034590,Gag/pol polyprotein
Lcu.1GRN.Chr2,502395076,502395786,Lcu.1GRN.2g067320,Lcu.1GRN.2g067320,Gag/pol polyprotein
Lcu.1GRN.Chr6,292214576,292214824,Lcu.1GRN.6g034110,Lcu.1GRN.6g034110,Gag/pol polyprotein
Lcu.1GRN.Chr6,292215034,292216194,Lcu.1GRN.6g034120,Lcu.1GRN.6g034120,Gag/pol polyprotein
Lcu.1GRN.Chr1,360297646,360298189,Lcu.1GRN.1g034690,Lcu.1GRN.1g034690,gag_pre-integrs domain-containing protein
Lcu.1GRN.Chr7,246309331,246310008,Lcu.1GRN.7g031900,Lcu.1GRN.7g031900,Gag-pol polyprotein
Lcu.1GRN.Chr3,118131502,118132662,Lcu.1GRN.3g015350,Lcu.1GRN.3g015350,Gamma-irradiation and mitomycin C induced protein;  putative
Lcu.1GRN.Chr6,295640058,295649521,Lcu.1GRN.6g034600,Lcu.1GRN.6g034600,Golgin candidate 4
Lcu.1GRN.Chr1,413030237,413030626,Lcu.1GRN.1g042030,Lcu.1GRN.1g042030,GRF-type domain-containing protein
Lcu.1GRN.Chr1,479236946,479238928,Lcu.1GRN.1g051230,Lcu.1GRN.1g051230,GTP-binding protein
Lcu.1GRN.Chr1,479261539,479263521,Lcu.1GRN.1g051250,Lcu.1GRN.1g051250,GTP-binding protein
Lcu.1GRN.Chr2,498994929,498998354,Lcu.1GRN.2g067120,Lcu.1GRN.2g067120,G-type lectin S-receptor-like serine/threonine-protein kinase
Lcu.1GRN.Chr3,344507255,344511132,Lcu.1GRN.3g047270,Lcu.1GRN.3g047270,GUB_WAK_bind domain-containing protein
Lcu.1GRN.Chr7,243553934,243555068,Lcu.1GRN.7g031580,Lcu.1GRN.7g031580,GUB_WAK_bind domain-containing protein
Lcu.1GRN.Chr6,292928715,292936873,Lcu.1GRN.6g034190,Lcu.1GRN.6g034190,GYF domain-containing protein
Lcu.1GRN.Chr6,295793611,295794898,Lcu.1GRN.6g034680,Lcu.1GRN.6g034680,Heat shock protein 70 family
Lcu.1GRN.Chr1,370964597,370965712,Lcu.1GRN.1g036150,Lcu.1GRN.1g036150,Heat stress transcription factor a-6b-like protein
Lcu.1GRN.Chr3,10978305,10979213,Lcu.1GRN.3g002510,Lcu.1GRN.3g002510,Heavy metal-associated isoprenylated plant protein
Lcu.1GRN.Chr6,293380510,293382109,Lcu.1GRN.6g034320,Lcu.1GRN.6g034320,heavy metal-associated isoprenylated plant protein 39
Lcu.1GRN.Chr1,372693760,372694284,Lcu.1GRN.1g036360,Lcu.1GRN.1g036360,Helicase/SANT-associated DNA-binding protein
Lcu.1GRN.Chr2,538704277,538705609,Lcu.1GRN.2g070990,Lcu.1GRN.2g070990,Heterogeneous nuclear ribonucleoprotein 1
Lcu.1GRN.Chr7,68215843,68216160,Lcu.1GRN.7g014020,Lcu.1GRN.7g014020,high mobility group B protein 15
Lcu.1GRN.Chr7,68225329,68225646,Lcu.1GRN.7g014030,Lcu.1GRN.7g014030,high mobility group B protein 15
Lcu.1GRN.Chr4,480226009,480234606,Lcu.1GRN.4g069410,Lcu.1GRN.4g069410,Histidine kinase-;  DNA gyrase B;  putative
Lcu.1GRN.Chr1,364100972,364101840,Lcu.1GRN.1g035230,Lcu.1GRN.1g035230,Histone acetyltransferase
Lcu.1GRN.Chr1,364100973,364103324,Lcu.1GRN.1g035240,Lcu.1GRN.1g035240,Histone acetyltransferase
Lcu.1GRN.Chr7,471667438,471669441,Lcu.1GRN.7g048710,Lcu.1GRN.7g048710,Histone acetyltransferase
Lcu.1GRN.Chr7,229249712,229250623,Lcu.1GRN.7g030210,Lcu.1GRN.7g030210,Histone deacetylase HDT1
Lcu.1GRN.Chr3,345027460,345035233,Lcu.1GRN.3g047360,Lcu.1GRN.3g047360,histone-lysine N-methyltransferase ATX5
Lcu.1GRN.Chr6,292994632,292995159,Lcu.1GRN.6g034240,Lcu.1GRN.6g034240,Histone-lysine N-methyltransferase ATXR7
Lcu.1GRN.Chr1,479368673,479370368,Lcu.1GRN.1g051270,Lcu.1GRN.1g051270,Homeobox domain-containing protein
